type,m1.kg,m2.kg,v1.ms,v2.ms,v1f.ms,v2f.ms
inelastic,0.3,0.3,0.62,0,0.28,0.28
inelastic,0.3,0.3,0.273,-0.285,0.137,0.104
inelastic,0.3,0.3,0.477,0.175,0.332,0.332
inelastic,0.3,0.3,0.982,0,0.452,0.441
inelastic,0.3,0.3,1.07,-0.316,0.344,0.329
inelastic,0.3,0.3,1.1,0.167,0.62,0.576
inelastic,0.8,0.3,0.594,0,0.421,0.408
inelastic,0.8,0.3,0.62,-0.0411,0.506,0.485
inelastic,0.8,0.3,0.763,0.208,0.598,0.531
inelastic,0.8,0.3,0.723,0,0.515,0.492
inelastic,0.8,0.3,0.768,-0.271,0.547,0.52
inelastic,0.8,0.3,0.87,0.185,0.724,0.589
inelastic,0.3,0.8,0.631,0,0.164,0.161
inelastic,0.3,0.8,0.732,-0.235,0.0613,0.0996
inelastic,0.3,0.8,0.767,0.262,0.464,0.44
inelastic,0.3,0.8,1.2,0,0.323,0.307
inelastic,0.3,0.8,0.699,-0.134,0.0893,0.0917
inelastic,0.3,0.8,1.23,0.185,0.403,0.403
inelastic,0.8,0.8,0.595,0,0.268,0.268
inelastic,0.8,0.8,0.465,-0.328,0.181,0.167
inelastic,0.8,0.8,0.617,0.182,0.376,0.376
inelastic,0.8,0.8,0.826,0,0.447,0.433
inelastic,0.8,0.8,0.584,-0.276,0.164,0.159
inelastic,0.8,0.8,0.956,0.363,0.68,0.682
inelastic,0.3,0.3,0.616,0,0.289,0.294
inelastic,0.3,0.3,0.307,-0.17,0.118,0.117
inelastic,0.3,0.3,0.729,0.241,0.494,0.477
inelastic,0.3,0.3,0.754,0,0.369,0.338
inelastic,0.3,0.3,0.851,-0.316,0.239,0.245
inelastic,0.3,0.3,0.899,0.313,0.577,0.544
inelastic,0.8,0.3,0.593,0,0.46,0.42
inelastic,0.8,0.3,0.563,-0.285,0.322,0.318
inelastic,0.8,0.3,0.904,0.294,0.697,0.697
inelastic,0.3,0.8,1,0,0.25,0.247
inelastic,0.8,0.3,0.66,-0.254,0.405,0.388
inelastic,0.8,0.3,0.812,0.359,0.655,0.651
inelastic,0.3,0.8,0.737,0,0.204,0.194
inelastic,0.8,0.3,0.651,-0.364,0.375,0.375
inelastic,0.3,0.8,1.05,0.186,0.415,0.391
inelastic,0.3,0.8,1.25,0,0.227,0.207
inelastic,0.3,0.8,0.781,-0.148,0.102,0.103
inelastic,0.8,0.8,1.07,0.295,0.45,0.47
inelastic,0.3,0.8,0.81,0,0.217,0.222
inelastic,0.3,0.8,0.665,-0.169,0.0622,0.0633
inelastic,0.3,0.8,0.866,0.229,0.393,0.369
inelastic,0.3,0.8,0.788,0,0.205,0.199
inelastic,0.3,0.8,0.815,-0.197,0.0938,0.0958
inelastic,0.3,0.8,1.17,0.265,0.51,0.467
inelastic,0.3,0.3,0.738,0,0.369,0.347
inelastic,0.3,0.3,0.605,-0.33,0.159,0.153
inelastic,0.3,0.3,0.8,0.248,0.518,0.552
inelastic,0.3,0.3,0.705,0,0.268,0.349
inelastic,0.3,0.3,0.786,-0.207,0.275,0.222
inelastic,0.3,0.3,0.867,0.279,0.534,0.593
inelastic,0.3,0.8,0.699,0,0.193,0.192
inelastic,0.3,0.8,0.81,-0.279,0.00717,0.00893
inelastic,0.3,0.8,0.897,0.248,0.416,0.411
inelastic,0.3,0.8,0.859,0,0.225,0.226
inelastic,0.3,0.8,0.731,-0.179,0.0853,0.0853
inelastic,0.3,0.8,0.868,0.203,0.376,0.379
inelastic,0.8,0.3,0.565,0,0.423,0.397
inelastic,0.8,0.3,0.584,-0.332,0.274,0.331
inelastic,0.8,0.3,0.47,0.204,0.436,0.45
inelastic,0.8,0.3,0.622,0,0.469,0.434
inelastic,0.3,0.3,0.559,0.305,0.313,0.311
inelastic,0.8,0.3,0.822,0.3,0.709,0.699
inelastic,0.8,0.8,0.55,0,0.265,0.258
inelastic,0.8,0.8,0.643,-0.133,0.227,0.218
inelastic,0.8,0.8,0.6356,0.194,0.4,0.395
inelastic,0.8,0.8,0.827,0,0.455,0.404
inelastic,0.8,0.8,0.582,-0.203,0.246,0.215
inelastic,0.8,0.3,0.56,0.248,0.529,0.489
